purchase_date,salesbyday
2021-01-13,52568.17
2021-01-14,42884.45
2021-01-15,27051.77
2021-01-16,37668.75
2021-01-17,55242.59
2021-01-18,44758.98
2021-01-19,48204.49
2021-01-20,39230.43
2021-01-21,37857.73
2021-01-22,30119.66
2021-01-23,34731.85
2021-01-24,44634.47
2021-01-25,44601.68
2021-01-26,35829.85
2021-01-27,34881.13
2021-01-28,27509.58
2021-01-29,31177.15
2021-01-30,35853.61
2021-01-31,50918.58
2021-02-01,43367.33
2021-02-02,47710.84
2021-02-03,43477.02
2021-02-04,34747.78
2021-02-05,30868.39
2021-02-06,29951.69
2021-02-07,56398.15
2021-02-08,33235.63
2021-02-09,49537.89
2021-02-10,42534.14
2021-02-11,37878.05
2021-02-12,26078.89
2021-02-13,38865.64
2021-02-14,50284.93
2021-02-15,49308.71
2021-02-16,47441.9
2021-02-17,53250.84
2021-02-18,37289.09
2021-02-19,23369.98
2021-02-20,35373.48
2021-02-21,47700.06
2021-02-22,54045.62
2021-02-23,49940.49
2021-02-24,40625.66
2021-02-25,48357.8
2021-02-26,29773.45
2021-02-27,26008.26
2021-02-28,44626.83
2021-03-01,40311.27
2021-03-02,47600.86
2021-03-03,54400.58
2021-03-04,48050.44
2021-03-05,35190.69
2021-03-06,34146.05
2021-03-07,63797.81
2021-03-08,58459.38
2021-03-09,53817.49
2021-03-10,60484.27
2021-03-11,44224.02
2021-03-12,39808.26
2021-03-13,38603.58
2021-03-14,65837.87
2021-03-15,56126.35
2021-03-16,68746.42
2021-03-17,36397.87
2021-03-18,39718.16
2021-03-19,29877.59
2021-03-20,25101.88
2021-03-21,33084.81
2021-03-22,46345.15
2021-03-23,21948.12
2021-03-24,22405.58
2021-03-25,19189.59
2021-03-26,19222.96
2021-03-27,15418.2
2021-03-28,34136.78
2021-03-29,31477.76
2021-03-30,22638.46
2021-03-31,33320.61
2021-04-01,41416.25
2021-04-02,29992.04
2021-04-03,35222.1
2021-04-04,36045.62
2021-04-05,39982.77
2021-04-06,33977.17
2021-04-07,45415.2
2021-04-08,33498.29
2021-04-09,37768.19
2021-04-10,31240.7
2021-04-11,60141.62
2021-04-12,48715.54
2021-04-13,43905.43
2021-04-14,35218.41
2021-04-15,32900.41
2021-04-16,30177.55
2021-04-17,22268.18
2021-04-18,41710.46
2021-04-19,41308.72
2021-04-20,35908.06
2021-04-21,34355.75
2021-04-22,29341.96
2021-04-23,23046.27
2021-04-24,31167.22
2021-04-25,43340.46
2021-04-26,42422.07
2021-04-27,33571.71
2021-04-28,42213.8
2021-04-29,25751.74
2021-04-30,20197.41
2021-05-01,31030.55
2021-05-02,30022.16
2021-05-03,32931.77
2021-05-04,44181.38
2021-05-05,37080.06
2021-05-06,23237.72
2021-05-07,11928.29
2021-05-08,18951.41
2021-05-09,23551.37
2021-05-10,24320.13
2021-05-11,23703.85
2021-05-12,25763.05
2021-05-13,35389.66
2021-05-14,26834.34
2021-05-15,35259.17
2021-05-16,37859.65
2021-05-17,35576.93
2021-05-18,51316.95
2021-05-19,46556.5
2021-05-20,39946.13
2021-05-21,27194.16
2021-05-22,36896.85
2021-05-23,53185.86
2021-05-24,50579.55
