"driver.name","colors","cons.name","var","key","label"
"Kevin Magnussen","#787878","Haas F1 Team","DNF",6,"6"
"Kimi Räikkönen","#960000","Alfa Romeo","DNF",1,"1"
"Lance Stroll","#F596C8","Racing Point","DNF",5,"5"
"Lando Norris","#FF8700","McLaren","DNF",1,"1"
"Lewis Hamilton","#00D2BE","Mercedes","DNF",0,"0"
"Max Verstappen","#0600ef","Red Bull","DNF",5,"5"
"Nicholas Latifi","#0082fa","Williams","DNF",3,"3"
"Pierre Gasly","#ffffff","AlphaTauri","DNF",3,"3"
"Romain Grosjean","#787878","Haas F1 Team","DNF",3,"3"
"Sebastian Vettel","#DC0000","Ferrari","DNF",2,"2"
"Sergio Pérez","#F596C8","Racing Point","DNF",1,"1"
"Valtteri Bottas","#00D2BE","Mercedes","DNF",1,"1"
"Alexander Albon","#0600ef","Red Bull","Poles",0,"0"
"Antonio Giovinazzi","#960000","Alfa Romeo","Poles",0,"0"
"Carlos Sainz","#FF8700","McLaren","Poles",0,"0"
"Charles Leclerc","#DC0000","Ferrari","Poles",0,"0"
"Daniel Ricciardo","#FFF500","Renault","Poles",0,"0"
"Daniil Kvyat","#ffffff","AlphaTauri","Poles",0,"0"
"Esteban Ocon","#FFF500","Renault","Poles",0,"0"
"George Russell","#0082fa","Williams","Poles",0,"0"
"Kevin Magnussen","#787878","Haas F1 Team","Poles",0,"0"
"Kimi Räikkönen","#960000","Alfa Romeo","Poles",0,"0"
"Lance Stroll","#F596C8","Racing Point","Poles",1,"1"
"Lando Norris","#FF8700","McLaren","Poles",0,"0"
"Lewis Hamilton","#00D2BE","Mercedes","Poles",10,"10"
"Max Verstappen","#0600ef","Red Bull","Poles",1,"1"
"Nicholas Latifi","#0082fa","Williams","Poles",0,"0"
"Pierre Gasly","#ffffff","AlphaTauri","Poles",0,"0"
"Romain Grosjean","#787878","Haas F1 Team","Poles",0,"0"
"Sebastian Vettel","#DC0000","Ferrari","Poles",0,"0"
"Sergio Pérez","#F596C8","Racing Point","Poles",0,"0"
"Valtteri Bottas","#00D2BE","Mercedes","Poles",5,"5"
