Champion,Pos,GP,P,B,P+B,W,CTR,K,D,A,KDA,KP,DTH,FB,GD10,XPD10,CSD10,CSPM,CSP15,DPM,DMG,GOLD,WPM,WCPM
Thresh,Support,10,0.13,0.18,0.32,0.4,0.2,4,26,64,2.6,0.65,0.21,0.1,-136,-83,0.5,1.3,0.03,107,0.06,0.08,1.67,0.49
Twisted Fate,Middle,16,0.21,0.61,0.82,0.56,0.13,52,39,120,4.4,0.71,0.18,0.19,277,97,1.1,8.3,0.25,490,0.23,0.25,0.31,0.24
Twitch,ADC,2,0.03,0.16,0.18,0,0.5,6,6,2,1.3,0.8,0.17,0,-1010,-668,-24,7.8,0.3,551,0.37,0.29,0.35,0.3
Urgot,Top,1,0.01,0,0.01,0,0,3,4,1,1,0.67,0.25,0,247,33,-9,7.3,0.22,243,0.19,0.24,0.49,0.21
Vayne,Middle,1,0.01,0,0.01,1,1,11,1,2,13,0.57,0.11,1,1210,624,17,7.9,0.28,404,0.21,0.26,0.4,0.47
Vel'Koz,Middle,2,0.03,0,0.03,0,1,3,6,2,0.8,0.39,0.16,0,61,210,-4,8.9,0.26,487,0.29,0.25,0.55,0.21
Vladimir,Top,3,0.04,0.04,0.08,0.67,1,5,6,3,1.3,0.29,0.21,0,-79,229,1.3,9.3,0.28,535,0.25,0.24,0.37,0.22
Volibear,Jungle,5,0.07,0.18,0.47,0.6,0.8,12,11,31,3.9,0.73,0.18,0.4,-51,-442,-10,4.7,0.12,196,0.11,0.16,0.52,0.4
Volibear,Top,17,0.22,0.18,0.47,0.53,0.82,40,54,89,2.4,0.59,0.22,0.18,-199,-141,1,7.2,0.22,408,0.21,0.21,0.39,0.18
Wukong,Top,3,0.04,0.07,0.11,0.33,0.67,7,12,10,1.4,0.65,0.23,0.67,-58,46,-3.7,8.5,0.26,374,0.23,0.25,0.31,0.2
Ziggs,ADC,2,0.03,0,0.03,0,1,2,7,1,0.4,0.3,0.14,0,-820,-463,-22,7.9,0.27,650,0.32,0.24,0.37,0.19
Zilean,Middle,2,0.03,0,0.03,0,1,1,2,8,4.5,0.6,0.11,0,-971,-336,-23.5,7.7,0.26,296,0.2,0.22,0.45,0.23
Zoe,Middle,8,0.11,0.04,0.15,0.63,0.25,25,11,58,7.5,0.73,0.12,0.25,52,-86,1,8.3,0.23,516,0.26,0.22,0.4,0.21
