,date,state,PM2.5,CO,NO2,PM10,SO2
4688,2020-06-24,Michigan,5.5,NA,NA,NA,NA
4714,2020-06-25,Michigan,8.1,NA,NA,NA,NA
4741,2020-06-26,Michigan,8.6,NA,NA,NA,NA
4768,2020-06-27,Michigan,7.2,NA,NA,NA,NA
4795,2020-06-28,Michigan,10.2,NA,NA,NA,NA
4822,2020-06-29,Michigan,11.2,NA,NA,NA,NA
4849,2020-06-30,Michigan,10.6,NA,NA,NA,NA
4876,2020-07-01,Michigan,14.2,NA,NA,NA,NA
4903,2020-07-02,Michigan,15.3,NA,NA,NA,NA
4930,2020-07-03,Michigan,14.1,NA,NA,NA,NA
4957,2020-07-04,Michigan,38,NA,NA,NA,NA
4983,2020-07-05,Michigan,39.1,NA,NA,NA,NA
24,2020-01-01,Minnesota,8.3,0,NA,9,1.2
51,2020-01-02,Minnesota,7.9,0.2,NA,7,2.5
78,2020-01-03,Minnesota,7.2,0.2,NA,8,5.4
105,2020-01-04,Minnesota,7,0.2,NA,8,2.6
132,2020-01-05,Minnesota,4.9,0.2,NA,6,6.3
159,2020-01-06,Minnesota,4.2,0.2,NA,15,7
186,2020-01-07,Minnesota,4,0.1,NA,8,5.3
213,2020-01-08,Minnesota,5.1,0.1,NA,12,1.4
240,2020-01-09,Minnesota,10.5,0.2,NA,22,2.1
267,2020-01-10,Minnesota,9.4,0.2,NA,20,2.6
294,2020-01-11,Minnesota,4.1,0.1,NA,10,0.4
321,2020-01-12,Minnesota,4.1,0.1,NA,7,0.4
348,2020-01-13,Minnesota,7.6,0.2,NA,13,0.6
375,2020-01-14,Minnesota,10.7,0.2,NA,12,1
402,2020-01-15,Minnesota,14.1,0.3,NA,16,54.6
429,2020-01-16,Minnesota,9.5,0.2,NA,23,3.1
456,2020-01-17,Minnesota,9.5,0.2,NA,16,0.8
483,2020-01-18,Minnesota,8.7,0.2,NA,6,1.5
510,2020-01-19,Minnesota,5.9,0.2,NA,7,2.2
537,2020-01-20,Minnesota,13.8,0.2,NA,12,2.4
564,2020-01-21,Minnesota,18.8,0.2,NA,25,0.7
591,2020-01-22,Minnesota,10.8,0.2,NA,16,0.8
618,2020-01-23,Minnesota,16.6,0.2,NA,21,0.7
645,2020-01-24,Minnesota,4.2,0.2,NA,11,0.9
672,2020-01-25,Minnesota,5.4,0.2,NA,6,1.6
699,2020-01-26,Minnesota,7.3,0.2,NA,10,2.7
726,2020-01-27,Minnesota,4.6,0.2,NA,6,0.9
753,2020-01-28,Minnesota,5,0.2,NA,9,0.9
780,2020-01-29,Minnesota,10.5,0.2,NA,21,0.6
807,2020-01-30,Minnesota,19.4,0.2,NA,24,0.7
834,2020-01-31,Minnesota,20.9,0.2,NA,22,0.8
861,2020-02-01,Minnesota,8.8,0.2,NA,9,2.5
888,2020-02-02,Minnesota,4.1,0.2,NA,8,5.8
915,2020-02-03,Minnesota,1.9,0.2,NA,17,2.7
942,2020-02-04,Minnesota,4.4,0.2,NA,18,1.6
969,2020-02-05,Minnesota,11.3,0.2,NA,40,1
996,2020-02-06,Minnesota,11.7,0.2,NA,41,1.5
1023,2020-02-07,Minnesota,12.2,0.3,NA,22,1.8
1050,2020-02-08,Minnesota,10.2,0.2,NA,15,1.8
1077,2020-02-09,Minnesota,8.6,0.2,NA,13,1.5
1104,2020-02-10,Minnesota,15.8,0.2,NA,14,1.2
1131,2020-02-11,Minnesota,8.9,0.2,NA,14,3.5
1158,2020-02-12,Minnesota,4,0.1,NA,14,1.6
1185,2020-02-13,Minnesota,7.7,0.1,NA,15,3.9
1212,2020-02-14,Minnesota,11.5,0.1,NA,48,1.1
1239,2020-02-15,Minnesota,8.3,0.1,NA,12,3.8
1266,2020-02-16,Minnesota,5.2,0.1,NA,12,1.8
1293,2020-02-17,Minnesota,9.5,0.1,NA,19,1.5
1320,2020-02-18,Minnesota,12.2,0.1,NA,14,2.9
1347,2020-02-19,Minnesota,8.5,0.1,NA,19,1.9
1374,2020-02-20,Minnesota,17.2,0.2,NA,35,3.4
1401,2020-02-21,Minnesota,13.4,0.2,NA,23,1.3
1428,2020-02-22,Minnesota,16.5,0.2,NA,20,1.2
1455,2020-02-23,Minnesota,7.6,0.2,NA,10,5.3
1482,2020-02-24,Minnesota,5.9,0.3,NA,17,2.6
1509,2020-02-25,Minnesota,3,0.2,NA,25,1.1
1536,2020-02-26,Minnesota,3.2,0.2,NA,16,2.9
1563,2020-02-27,Minnesota,6.4,0.2,NA,22,2.7
1590,2020-02-28,Minnesota,4.5,0.2,NA,23,3.6
1617,2020-02-29,Minnesota,12.8,0.2,NA,21,1.5
1644,2020-03-01,Minnesota,5.9,0.2,NA,11,6.9
1671,2020-03-02,Minnesota,5.1,0.2,NA,19,4.1
1698,2020-03-03,Minnesota,5.4,0.3,NA,13,7.6
1725,2020-03-04,Minnesota,6.3,0.3,NA,26,4.1
1752,2020-03-05,Minnesota,4.7,0.2,NA,10,6.4
1779,2020-03-06,Minnesota,3.5,0.1,NA,25,0.8
1806,2020-03-07,Minnesota,9,0.1,NA,42,1.2
1832,2020-03-08,Minnesota,15.7,0.2,NA,40,1.5
1858,2020-03-09,Minnesota,8.7,0.2,NA,28,2.5
1885,2020-03-10,Minnesota,8.4,0.2,NA,43,2.5
1912,2020-03-11,Minnesota,8.4,0.2,NA,28,1.3
1939,2020-03-12,Minnesota,7.4,0.2,NA,14,7.4
1966,2020-03-13,Minnesota,5.1,0.2,NA,24,5.9
1993,2020-03-14,Minnesota,7,0.1,NA,9,0
2020,2020-03-15,Minnesota,5,0.2,NA,18,-0.1
2047,2020-03-16,Minnesota,6.8,0.2,NA,12,3.4
2074,2020-03-17,Minnesota,6.2,0.2,NA,26,4
2101,2020-03-18,Minnesota,9,0.2,NA,21,0.2
2128,2020-03-19,Minnesota,6.2,0.2,NA,10,0.3
2155,2020-03-20,Minnesota,4.2,0.2,NA,17,0.2
2182,2020-03-21,Minnesota,3.5,0.2,NA,10,0
2209,2020-03-22,Minnesota,8.7,0.2,NA,13,0
2236,2020-03-23,Minnesota,10.1,0.2,NA,14,0.3
2263,2020-03-24,Minnesota,8.5,0.2,NA,22,0.2
2290,2020-03-25,Minnesota,9.6,0.2,NA,18,0.6
2317,2020-03-26,Minnesota,6.8,0.2,NA,18,0.6
2344,2020-03-27,Minnesota,10.4,0.2,NA,29,0.5
2371,2020-03-28,Minnesota,3.7,0.2,NA,4,0.9
2398,2020-03-29,Minnesota,3.3,0.2,NA,5,3.7
2425,2020-03-30,Minnesota,3.8,0.2,NA,20,3.9
2452,2020-03-31,Minnesota,4.2,0.2,NA,22,0.3
2478,2020-04-01,Minnesota,4.4,0.2,NA,NA,NA
2503,2020-04-02,Minnesota,7.5,NA,NA,NA,NA
2530,2020-04-03,Minnesota,3.6,NA,NA,NA,NA
2555,2020-04-04,Minnesota,9.1,NA,NA,NA,NA
2581,2020-04-05,Minnesota,7.7,NA,NA,NA,NA
2607,2020-04-06,Minnesota,15,NA,NA,NA,NA
2634,2020-04-07,Minnesota,15,NA,NA,NA,NA
2661,2020-04-08,Minnesota,5.7,NA,NA,NA,NA
2687,2020-04-09,Minnesota,2.8,NA,NA,NA,NA
2714,2020-04-10,Minnesota,6.5,NA,NA,NA,NA
2741,2020-04-11,Minnesota,12.4,NA,NA,NA,NA
2768,2020-04-12,Minnesota,3,NA,NA,NA,NA
2795,2020-04-13,Minnesota,3,NA,NA,NA,NA
2822,2020-04-14,Minnesota,4.4,NA,NA,NA,NA
2849,2020-04-15,Minnesota,3.9,NA,NA,NA,NA
2875,2020-04-16,Minnesota,6,NA,NA,NA,NA
2901,2020-04-17,Minnesota,8,NA,NA,NA,NA
2928,2020-04-18,Minnesota,6.7,NA,NA,NA,NA
2954,2020-04-19,Minnesota,4.6,NA,NA,NA,NA
2981,2020-04-20,Minnesota,4.7,NA,NA,NA,NA
3007,2020-04-21,Minnesota,3.3,NA,NA,NA,NA
3033,2020-04-22,Minnesota,5.9,NA,NA,NA,NA
3060,2020-04-23,Minnesota,9.4,NA,NA,NA,NA
3139,2020-04-26,Minnesota,4.7,NA,NA,NA,NA
3166,2020-04-27,Minnesota,6.9,NA,NA,NA,NA
3193,2020-04-28,Minnesota,3.2,NA,NA,NA,NA
3220,2020-04-29,Minnesota,2.4,NA,NA,NA,NA
3247,2020-04-30,Minnesota,4.8,NA,NA,NA,NA
3274,2020-05-01,Minnesota,8.1,NA,NA,NA,NA
3300,2020-05-02,Minnesota,5.6,NA,NA,NA,NA
3325,2020-05-03,Minnesota,3.7,NA,NA,NA,NA
3349,2020-05-04,Minnesota,2.5,NA,NA,NA,NA
3376,2020-05-05,Minnesota,4.2,NA,NA,NA,NA
3403,2020-05-06,Minnesota,4.2,NA,NA,NA,NA
3430,2020-05-07,Minnesota,3.6,NA,NA,NA,NA
3457,2020-05-08,Minnesota,4.6,NA,NA,NA,NA
3484,2020-05-09,Minnesota,10.7,NA,NA,NA,NA
3510,2020-05-10,Minnesota,2.2,NA,NA,NA,NA
3537,2020-05-11,Minnesota,4,NA,NA,NA,NA
3564,2020-05-12,Minnesota,6.1,NA,NA,NA,NA
3590,2020-05-13,Minnesota,5.2,NA,NA,NA,NA
3615,2020-05-14,Minnesota,4,NA,NA,NA,NA
3641,2020-05-15,Minnesota,6.4,NA,NA,NA,NA
3667,2020-05-16,Minnesota,3.7,NA,NA,NA,NA
3692,2020-05-17,Minnesota,4.2,NA,NA,NA,NA
3717,2020-05-18,Minnesota,3.7,NA,NA,NA,NA
3742,2020-05-19,Minnesota,3.5,NA,NA,NA,NA
3768,2020-05-20,Minnesota,5.6,NA,NA,NA,NA
3795,2020-05-21,Minnesota,5.2,NA,NA,NA,NA
3821,2020-05-22,Minnesota,7.5,NA,NA,NA,NA
3848,2020-05-23,Minnesota,8.2,NA,NA,NA,NA
3875,2020-05-24,Minnesota,7.8,NA,NA,NA,NA
3901,2020-05-25,Minnesota,9.1,NA,NA,NA,NA
3925,2020-05-26,Minnesota,3.9,NA,NA,NA,NA
3950,2020-05-27,Minnesota,3.6,NA,NA,NA,NA
3974,2020-05-28,Minnesota,5.4,NA,NA,NA,NA
3999,2020-05-29,Minnesota,1.5,NA,NA,NA,NA
4024,2020-05-30,Minnesota,8.8,NA,NA,NA,NA
4050,2020-05-31,Minnesota,6,NA,NA,NA,NA
4076,2020-06-01,Minnesota,9.5,NA,NA,NA,NA
4103,2020-06-02,Minnesota,9.6,NA,NA,NA,NA
4130,2020-06-03,Minnesota,6.9,NA,NA,NA,NA
4156,2020-06-04,Minnesota,6.7,NA,NA,NA,NA
4183,2020-06-05,Minnesota,7.2,NA,NA,NA,NA
4209,2020-06-06,Minnesota,4.9,NA,NA,NA,NA
4236,2020-06-07,Minnesota,8.3,NA,NA,NA,NA
4262,2020-06-08,Minnesota,12,NA,NA,NA,NA
4288,2020-06-09,Minnesota,8.9,NA,NA,NA,NA
4314,2020-06-10,Minnesota,2.7,NA,NA,NA,NA
4341,2020-06-11,Minnesota,7.6,NA,NA,NA,NA
4368,2020-06-12,Minnesota,8.3,NA,NA,NA,NA
4395,2020-06-13,Minnesota,5.8,NA,NA,NA,NA
4422,2020-06-14,Minnesota,5.8,NA,NA,NA,NA
4448,2020-06-15,Minnesota,9.8,NA,NA,NA,NA
4474,2020-06-16,Minnesota,9,NA,NA,NA,NA
4500,2020-06-17,Minnesota,11.1,NA,NA,NA,NA
4527,2020-06-18,Minnesota,9.4,NA,NA,NA,NA
4554,2020-06-19,Minnesota,7.7,NA,NA,NA,NA
4581,2020-06-20,Minnesota,8.1,NA,NA,NA,NA
4608,2020-06-21,Minnesota,7.2,NA,NA,NA,NA
4635,2020-06-22,Minnesota,4,NA,NA,NA,NA
4662,2020-06-23,Minnesota,1.8,NA,NA,NA,NA
4689,2020-06-24,Minnesota,6,NA,NA,NA,NA
4715,2020-06-25,Minnesota,5.6,NA,NA,NA,NA
4742,2020-06-26,Minnesota,5.7,NA,NA,NA,NA
4769,2020-06-27,Minnesota,10.4,NA,NA,NA,NA
4796,2020-06-28,Minnesota,6.5,NA,NA,NA,NA
4823,2020-06-29,Minnesota,2.8,NA,NA,NA,NA
4850,2020-06-30,Minnesota,8.9,NA,NA,NA,NA
4877,2020-07-01,Minnesota,8.6,NA,NA,NA,NA
4904,2020-07-02,Minnesota,11.1,NA,NA,NA,NA
4931,2020-07-03,Minnesota,22.4,NA,NA,NA,NA
4958,2020-07-04,Minnesota,72.6,NA,NA,NA,NA
4984,2020-07-05,Minnesota,28.2,NA,NA,NA,NA
25,2020-01-01,Mississippi,23.5,1,30.3,31,2
52,2020-01-02,Mississippi,3.4,0.2,20.9,6,0.5
79,2020-01-03,Mississippi,4.6,0.2,16.6,10,0.9
106,2020-01-04,Mississippi,4.7,0.4,35.4,10,0.9
133,2020-01-05,Mississippi,8,0.7,24.9,13,1.4
160,2020-01-06,Mississippi,NA,0.2,31,NA,1
187,2020-01-07,Mississippi,6.6,0.6,33.7,NA,1.5
214,2020-01-08,Mississippi,12.3,1.1,29.3,25,2.6
241,2020-01-09,Mississippi,11.4,0.2,11.5,26,0.6
268,2020-01-10,Mississippi,5.1,0.1,8.1,17,0.4
295,2020-01-11,Mississippi,4.4,0.1,10.2,8,0.4
322,2020-01-12,Mississippi,7.8,0.3,14.7,11,0.7
349,2020-01-13,Mississippi,8.1,0.4,20.6,20,0.5
376,2020-01-14,Mississippi,4,0.2,11.5,8,0.3
403,2020-01-15,Mississippi,7.8,0.3,22.4,15,0.5
430,2020-01-16,Mississippi,6,0.3,15.3,13,0.5
457,2020-01-17,Mississippi,6.4,0.1,8,12,0.5
484,2020-01-18,Mississippi,6.9,0.1,8.8,13,0.4
511,2020-01-19,Mississippi,2,0.1,5.3,5,0.4
538,2020-01-20,Mississippi,4.8,0.1,5.2,8,0.6
565,2020-01-21,Mississippi,7.9,0.2,13.9,11,0.5
592,2020-01-22,Mississippi,8.2,0.2,11.8,18,0.5
619,2020-01-23,Mississippi,14.5,0.2,15.5,17,0.7
646,2020-01-24,Mississippi,6.6,0.4,29.8,10,1.1
673,2020-01-25,Mississippi,7.5,0.7,33.8,15,1.2
700,2020-01-26,Mississippi,8.6,0.4,28.6,12,0.7
727,2020-01-27,Mississippi,8.7,0.4,23.2,13,1.1
754,2020-01-28,Mississippi,7.8,0.7,21.4,16,1.7
781,2020-01-29,Mississippi,7.6,0.2,NA,11,0.5
808,2020-01-30,Mississippi,11.4,0.4,NA,16,0.6
835,2020-01-31,Mississippi,8.7,0.2,7.1,16,0.3
862,2020-02-01,Mississippi,9.3,0.4,33.2,13,0.6
889,2020-02-02,Mississippi,7,0.4,18.1,14,0.7
916,2020-02-03,Mississippi,5.1,0.2,17.5,13,1
943,2020-02-04,Mississippi,8,0.1,13.3,15,0.4
970,2020-02-05,Mississippi,8.9,0.2,6.3,14,0.4
997,2020-02-06,Mississippi,1.4,0.2,6.5,4,0.5
1024,2020-02-07,Mississippi,5,0.2,18.3,9,0.8
1051,2020-02-08,Mississippi,5.1,0.2,12.1,10,1
1078,2020-02-09,Mississippi,4.8,0.2,4.2,13,0.5
1105,2020-02-10,Mississippi,5.9,0.1,9.5,12,0.5
1132,2020-02-11,Mississippi,4,0.2,7.6,6,0.4
1159,2020-02-12,Mississippi,2.8,0.1,9.2,8,0.4
1186,2020-02-13,Mississippi,3.2,0.2,4.5,4,0.3
1213,2020-02-14,Mississippi,4.4,0.2,13,7,0.2
1240,2020-02-15,Mississippi,4.4,0.2,9.9,9,0.5
1267,2020-02-16,Mississippi,6.7,0.1,11.5,10,0.3
1294,2020-02-17,Mississippi,6.1,0.1,8.3,9,0.3
1321,2020-02-18,Mississippi,5.8,0.2,8.8,12,0.4
1348,2020-02-19,Mississippi,6.1,0.2,8.1,8,0.2
1375,2020-02-20,Mississippi,3.4,0.1,4.4,4,NA
1402,2020-02-21,Mississippi,4.8,0.2,9.2,10,0.3
1429,2020-02-22,Mississippi,7.4,0.3,19.1,12,0.5
1456,2020-02-23,Mississippi,10.1,0.3,19.5,16,1.3
1483,2020-02-24,Mississippi,6.9,0.2,10.7,13,0.5
1510,2020-02-25,Mississippi,6.6,0.3,23.9,12,0.7
1537,2020-02-26,Mississippi,4.3,0.2,4.5,7,0.4
1564,2020-02-27,Mississippi,3.6,0.3,39.2,9,1.1
1591,2020-02-28,Mississippi,8.9,0.5,40.4,18,1.3
1618,2020-02-29,Mississippi,8.7,0.6,34.8,18,0.8
1645,2020-03-01,Mississippi,7.8,0.4,19.2,17,2.2
1672,2020-03-02,Mississippi,9.5,0.2,14.7,19,0.7
1699,2020-03-03,Mississippi,14.7,0.2,13,23,0.9
1726,2020-03-04,Mississippi,7.5,0.2,6.7,15,0.5
1753,2020-03-05,Mississippi,4.7,0.3,NA,9,1
1780,2020-03-06,Mississippi,4.7,0.4,28.9,17,5.2
1807,2020-03-07,Mississippi,5,0.3,31.9,13,0.5
1833,2020-03-08,Mississippi,11.8,0.3,7.7,17,0.6
1859,2020-03-09,Mississippi,10.6,0.1,6.9,22,1.3
1886,2020-03-10,Mississippi,6.4,0.2,NA,17,0.6
1913,2020-03-11,Mississippi,10.3,0.2,NA,19,0.5
1940,2020-03-12,Mississippi,8.9,0.1,5.2,17,1
1967,2020-03-13,Mississippi,7.1,0.2,7.5,18,1.3
1994,2020-03-14,Mississippi,10.9,0.2,13.4,18,0.6
2021,2020-03-15,Mississippi,9.4,0.2,17.9,15,0.5
2048,2020-03-16,Mississippi,7.2,0.1,10.8,17,0.6
2075,2020-03-17,Mississippi,15.5,0.2,17.8,26,0.6
2102,2020-03-18,Mississippi,10,0.1,8.5,18,0.4
2129,2020-03-19,Mississippi,9.5,0.1,5.9,22,0.4
2156,2020-03-20,Mississippi,9.4,0.1,5.2,19,0.4
2183,2020-03-21,Mississippi,8.2,0.1,3.1,15,0.3
2210,2020-03-22,Mississippi,4.6,0.2,7.6,11,0.4
2237,2020-03-23,Mississippi,10.8,0.1,5.6,18,0.4
2264,2020-03-24,Mississippi,13.8,0.1,11.4,24,0.6
2291,2020-03-25,Mississippi,9.7,0.2,20.6,20,0.5
2318,2020-03-26,Mississippi,14,0.3,13.2,24,0.8
2345,2020-03-27,Mississippi,14.2,0.1,4.6,22,0.7
2372,2020-03-28,Mississippi,13.7,0.1,3.4,26,0.6
2399,2020-03-29,Mississippi,8.7,0.3,22.6,25,0.5
2426,2020-03-30,Mississippi,6.9,0.4,9.2,14,0.5
2453,2020-03-31,Mississippi,6.3,0.1,20.5,11,0.9
2479,2020-04-01,Mississippi,8.5,0.2,20.4,16,1.1
2504,2020-04-02,Mississippi,10.3,0.2,12.3,18,0.7
2531,2020-04-03,Mississippi,13.6,0.2,23.8,28,1
2556,2020-04-04,Mississippi,17,0.2,14.1,23,0.5
2582,2020-04-05,Mississippi,14.7,0.2,7,21,0.6
2608,2020-04-06,Mississippi,12.9,0.2,12.9,24,0.9
2635,2020-04-07,Mississippi,13.2,0.1,5.4,21,0.6
2662,2020-04-08,Mississippi,18.4,0.1,6.6,27,0.7
2688,2020-04-09,Mississippi,11.5,0.1,4.6,25,0.6
2715,2020-04-10,Mississippi,7,0.2,8.4,22,0.4
2742,2020-04-11,Mississippi,7.4,0.2,6.9,17,0.7
2769,2020-04-12,Mississippi,10,0.1,11.6,23,0.8
2796,2020-04-13,Mississippi,5.9,0.1,13.6,12,0.4
2823,2020-04-14,Mississippi,6.4,0.1,5.2,13,0.7
2850,2020-04-15,Mississippi,4.8,0.1,6.8,12,0.5
2876,2020-04-16,Mississippi,8.9,0.2,10.9,16,0.5
2902,2020-04-17,Mississippi,12,0.2,13.3,23,1
2929,2020-04-18,Mississippi,5.7,0.1,8.7,12,0.5
2955,2020-04-19,Mississippi,10.7,0.1,5.7,16,2
2982,2020-04-20,Mississippi,6.1,0.2,15.2,11,1.5
3008,2020-04-21,Mississippi,6.9,0.3,25.2,18,0.8
3034,2020-04-22,Mississippi,7.8,0.4,18.7,18,0.8
3061,2020-04-23,Mississippi,9,0.1,18.7,15,1.3
3087,2020-04-24,Mississippi,6.3,0.4,19.7,17,1.2
3113,2020-04-25,Mississippi,6.8,0.2,13.9,13,0.6
3140,2020-04-26,Mississippi,6.3,0.2,10.6,12,0.5
3167,2020-04-27,Mississippi,5,0.2,8.7,12,0.5
3194,2020-04-28,Mississippi,6.7,0.1,11.7,14,0.7
3221,2020-04-29,Mississippi,4.7,0.1,6.4,11,0.6
3248,2020-04-30,Mississippi,5.4,0.3,33,18,0.5
3275,2020-05-01,Mississippi,10.8,0.5,25.6,20,1.3
3301,2020-05-02,Mississippi,9.5,0.2,11.5,17,0.9
3326,2020-05-03,Mississippi,9.4,0.1,11.1,18,1.9
3350,2020-05-04,Mississippi,10.2,0.1,8.3,18,0.8
3377,2020-05-05,Mississippi,10.3,0.1,8.3,19,0.7
3404,2020-05-06,Mississippi,3.9,0.1,21.1,28,0.6
3431,2020-05-07,Mississippi,5.6,0.1,10.7,14,0.6
3458,2020-05-08,Mississippi,6,0.1,7.7,12,0.7
3485,2020-05-09,Mississippi,4.5,0.2,21.6,11,0.7
3511,2020-05-10,Mississippi,7,0.2,20.4,13,0.6
3538,2020-05-11,Mississippi,6.8,0.3,19.1,14,0.6
3565,2020-05-12,Mississippi,7.6,0.1,7.9,19,0.7
3591,2020-05-13,Mississippi,10.4,0.1,8.6,21,1
3616,2020-05-14,Mississippi,9.7,0.1,6.9,19,0.6
3642,2020-05-15,Mississippi,6.6,0.1,5.6,17,0.6
3668,2020-05-16,Mississippi,8.6,0.1,3.9,17,0.5
3693,2020-05-17,Mississippi,6.2,0.1,9.1,13,0.8
3718,2020-05-18,Mississippi,4.5,0.2,23.4,13,0.6
3743,2020-05-19,Mississippi,5.6,0.3,20.5,14,0.6
3769,2020-05-20,Mississippi,4.6,0.1,5.7,10,0.6
3796,2020-05-21,Mississippi,9.5,0.1,8.3,17,0.7
3822,2020-05-22,Mississippi,9.9,0.1,8.3,20,0.7
3849,2020-05-23,Mississippi,13.2,0.1,5.4,29,0.7
3876,2020-05-24,Mississippi,7,0.1,4.3,18,0.7
3902,2020-05-25,Mississippi,7.9,0,8.1,15,1.3
3926,2020-05-26,Mississippi,6.8,0.1,10.6,14,0.7
3951,2020-05-27,Mississippi,4.1,0.2,9.6,12,0.6
3975,2020-05-28,Mississippi,7.4,0.2,24.6,16,0.8
4000,2020-05-29,Mississippi,6.5,0.2,7.5,12,0.7
4025,2020-05-30,Mississippi,6.7,0.1,7.4,16,0.6
4051,2020-05-31,Mississippi,9.6,0.1,5.7,18,0.8
4077,2020-06-01,Mississippi,9.5,0.1,NA,NA,NA
4104,2020-06-02,Mississippi,13.5,NA,NA,NA,NA
4131,2020-06-03,Mississippi,11.3,NA,NA,NA,NA
4157,2020-06-04,Mississippi,9,NA,NA,NA,NA
4184,2020-06-05,Mississippi,8.2,NA,NA,NA,NA
4210,2020-06-06,Mississippi,8.2,NA,NA,NA,NA
4237,2020-06-07,Mississippi,4.5,NA,NA,NA,NA
4263,2020-06-08,Mississippi,3.1,NA,NA,NA,NA
4289,2020-06-09,Mississippi,10.4,NA,NA,NA,NA
4315,2020-06-10,Mississippi,7.4,NA,NA,NA,NA
4342,2020-06-11,Mississippi,6.9,NA,NA,NA,NA
4369,2020-06-12,Mississippi,7.6,NA,NA,NA,NA
4396,2020-06-13,Mississippi,8.7,NA,NA,NA,NA
4423,2020-06-14,Mississippi,15.1,NA,NA,NA,NA
4449,2020-06-15,Mississippi,16.5,NA,NA,NA,NA
4475,2020-06-16,Mississippi,9.9,NA,NA,NA,NA
4501,2020-06-17,Mississippi,15.1,NA,NA,NA,NA
4528,2020-06-18,Mississippi,16.6,NA,NA,NA,NA
4555,2020-06-19,Mississippi,17.8,NA,NA,NA,NA
4582,2020-06-20,Mississippi,17.5,NA,NA,NA,NA
4609,2020-06-21,Mississippi,8.8,NA,NA,NA,NA
4636,2020-06-22,Mississippi,5.2,NA,NA,NA,NA
4663,2020-06-23,Mississippi,5.4,NA,NA,NA,NA
4690,2020-06-24,Mississippi,5.7,NA,NA,NA,NA
4716,2020-06-25,Mississippi,16.5,NA,NA,NA,NA
4743,2020-06-26,Mississippi,40.7,NA,NA,NA,NA
4770,2020-06-27,Mississippi,18.4,NA,NA,NA,NA
4797,2020-06-28,Mississippi,10.2,NA,NA,NA,NA
4824,2020-06-29,Mississippi,12.7,NA,NA,NA,NA
4851,2020-06-30,Mississippi,20.6,NA,NA,NA,NA
4878,2020-07-01,Mississippi,20.7,NA,NA,NA,NA
4905,2020-07-02,Mississippi,12.1,NA,NA,NA,NA
4932,2020-07-03,Mississippi,9,NA,NA,NA,NA
4959,2020-07-04,Mississippi,10.6,NA,NA,NA,NA
4985,2020-07-05,Mississippi,8.1,NA,NA,NA,NA
26,2020-01-01,Missouri,2.5,NA,NA,NA,0
53,2020-01-02,Missouri,4.8,NA,NA,NA,1
80,2020-01-03,Missouri,10.8,NA,NA,NA,0
107,2020-01-04,Missouri,4,NA,NA,NA,0
134,2020-01-05,Missouri,3.1,NA,NA,NA,2
161,2020-01-06,Missouri,3.1,NA,NA,NA,1
188,2020-01-07,Missouri,2.9,NA,NA,NA,0
215,2020-01-08,Missouri,3.3,NA,NA,NA,1
242,2020-01-09,Missouri,2.7,NA,NA,NA,0
269,2020-01-10,Missouri,4.6,NA,NA,NA,0
296,2020-01-11,Missouri,2,NA,NA,NA,0
323,2020-01-12,Missouri,5.5,NA,NA,NA,4
350,2020-01-13,Missouri,5.9,NA,NA,NA,2
377,2020-01-14,Missouri,9.1,NA,NA,NA,10
404,2020-01-15,Missouri,7,NA,NA,NA,0
431,2020-01-16,Missouri,6.7,NA,NA,NA,0
458,2020-01-17,Missouri,7.9,NA,NA,NA,1
485,2020-01-18,Missouri,2.1,NA,NA,NA,1
512,2020-01-19,Missouri,5.7,NA,NA,NA,1
539,2020-01-20,Missouri,7.2,NA,NA,NA,1
566,2020-01-21,Missouri,11.5,NA,NA,NA,1
593,2020-01-22,Missouri,10.4,NA,NA,NA,0
620,2020-01-23,Missouri,8.8,NA,NA,NA,0
647,2020-01-24,Missouri,9,NA,NA,NA,0
674,2020-01-25,Missouri,11.7,NA,NA,NA,0
701,2020-01-26,Missouri,16.1,NA,NA,NA,3
728,2020-01-27,Missouri,10.9,NA,NA,NA,0
755,2020-01-28,Missouri,7.1,NA,NA,NA,0
782,2020-01-29,Missouri,6.9,NA,NA,NA,0
809,2020-01-30,Missouri,12,NA,NA,NA,0
836,2020-01-31,Missouri,13.3,NA,NA,NA,0
863,2020-02-01,Missouri,7.1,NA,NA,NA,1
890,2020-02-02,Missouri,5.2,NA,NA,NA,5
917,2020-02-03,Missouri,5.2,NA,NA,NA,1
944,2020-02-04,Missouri,6.5,NA,NA,NA,0
971,2020-02-05,Missouri,4,NA,NA,NA,0
998,2020-02-06,Missouri,6,NA,NA,NA,0
1025,2020-02-07,Missouri,7.4,NA,NA,NA,1
1052,2020-02-08,Missouri,12.5,NA,NA,NA,4
1079,2020-02-09,Missouri,7,NA,NA,NA,1
1106,2020-02-10,Missouri,13.7,NA,NA,NA,0
1133,2020-02-11,Missouri,10.1,NA,NA,NA,0
1160,2020-02-12,Missouri,8.8,NA,NA,NA,0
1187,2020-02-13,Missouri,3.4,NA,NA,NA,0
1214,2020-02-14,Missouri,5.4,NA,NA,NA,5
1241,2020-02-15,Missouri,5.5,NA,NA,NA,0
1268,2020-02-16,Missouri,10.7,NA,NA,NA,1
1295,2020-02-17,Missouri,8.5,NA,NA,NA,1
1322,2020-02-18,Missouri,7.3,NA,NA,NA,0
1349,2020-02-19,Missouri,9.1,NA,NA,NA,1
1376,2020-02-20,Missouri,7.3,NA,NA,NA,0
1403,2020-02-21,Missouri,10.6,NA,NA,NA,0
