,date,state,PM2.5,CO,NO2,PM10,SO2
4028,2020-05-31,Alabama,8.4,2.1,NA,NA,NA
4054,2020-06-01,Alabama,9.5,1.1,NA,NA,NA
4080,2020-06-02,Alabama,7.5,1.8,NA,NA,NA
4107,2020-06-03,Alabama,10,1.8,NA,NA,NA
4134,2020-06-04,Alabama,7.2,0.9,NA,NA,NA
4160,2020-06-05,Alabama,6.6,0.6,NA,NA,NA
4187,2020-06-06,Alabama,5.5,1.1,NA,NA,NA
4213,2020-06-07,Alabama,4.1,0.5,NA,NA,NA
4240,2020-06-08,Alabama,5.8,0.4,NA,NA,NA
4266,2020-06-09,Alabama,7.9,0.6,NA,NA,NA
4292,2020-06-10,Alabama,5.7,1.4,NA,NA,NA
4318,2020-06-11,Alabama,7.3,0.3,NA,NA,NA
4345,2020-06-12,Alabama,8.5,0.2,NA,NA,NA
4372,2020-06-13,Alabama,8.5,0.3,NA,NA,NA
4399,2020-06-14,Alabama,11.9,0.2,NA,NA,NA
4426,2020-06-15,Alabama,8.1,1.3,NA,NA,NA
4452,2020-06-16,Alabama,3.9,1.5,NA,NA,NA
4478,2020-06-17,Alabama,6,1.4,NA,NA,NA
4504,2020-06-18,Alabama,8.6,1,NA,NA,NA
4531,2020-06-19,Alabama,10,0.8,NA,NA,NA
4558,2020-06-20,Alabama,12.3,0.9,NA,NA,NA
4585,2020-06-21,Alabama,12.3,0.9,NA,NA,NA
4612,2020-06-22,Alabama,7.4,0.3,NA,NA,NA
4639,2020-06-23,Alabama,6,0.6,NA,NA,NA
4666,2020-06-24,Alabama,4.5,1.1,NA,NA,NA
4693,2020-06-25,Alabama,16.2,0.6,NA,NA,NA
4719,2020-06-26,Alabama,34.9,0.5,NA,NA,NA
4746,2020-06-27,Alabama,30.4,1,NA,NA,NA
4773,2020-06-28,Alabama,9.4,0.9,NA,NA,NA
4800,2020-06-29,Alabama,7,0.8,NA,NA,NA
4827,2020-06-30,Alabama,7.6,0.7,NA,NA,NA
4854,2020-07-01,Alabama,8.4,0.4,NA,NA,NA
4881,2020-07-02,Alabama,8,0.2,NA,NA,NA
4908,2020-07-03,Alabama,10.2,0.4,NA,NA,NA
4935,2020-07-04,Alabama,17.6,0.6,NA,NA,NA
4962,2020-07-05,Alabama,10.3,0.7,NA,NA,NA
2,2020-01-01,Alaska,16.2,,NA,9,NA
29,2020-01-02,Alaska,11.4,,NA,18,NA
56,2020-01-03,Alaska,24,,NA,32,NA
83,2020-01-04,Alaska,29.3,,NA,20,NA
110,2020-01-05,Alaska,36.4,,NA,29,NA
137,2020-01-06,Alaska,31,,NA,27,NA
164,2020-01-07,Alaska,20.3,,NA,20,NA
191,2020-01-08,Alaska,24.1,,NA,39,NA
218,2020-01-09,Alaska,14.8,,NA,41,NA
245,2020-01-10,Alaska,7.5,,NA,40,NA
272,2020-01-11,Alaska,17.9,,NA,35,NA
299,2020-01-12,Alaska,5.2,,NA,42,NA
326,2020-01-13,Alaska,3.5,,NA,17,NA
353,2020-01-14,Alaska,10.7,,NA,8,NA
380,2020-01-15,Alaska,6.8,,NA,19,NA
407,2020-01-16,Alaska,5.5,,NA,27,NA
434,2020-01-17,Alaska,13.6,,NA,32,NA
461,2020-01-18,Alaska,19.2,,NA,27,NA
488,2020-01-19,Alaska,12.2,,NA,21,NA
515,2020-01-20,Alaska,2.3,,NA,25,NA
542,2020-01-21,Alaska,6.4,,NA,20,NA
569,2020-01-22,Alaska,4.7,,NA,15,NA
596,2020-01-23,Alaska,10.3,,NA,19,NA
623,2020-01-24,Alaska,15.3,,NA,12,NA
650,2020-01-25,Alaska,7.7,,NA,18,NA
677,2020-01-26,Alaska,4.5,,NA,21,NA
704,2020-01-27,Alaska,11.6,,NA,21,NA
731,2020-01-28,Alaska,8,,NA,20,NA
758,2020-01-29,Alaska,0.4,,NA,25,NA
785,2020-01-30,Alaska,7.2,,NA,7,NA
812,2020-01-31,Alaska,11.3,,NA,15,NA
839,2020-02-01,Alaska,9.4,,NA,11,NA
866,2020-02-02,Alaska,4,,NA,24,NA
893,2020-02-03,Alaska,3.1,,NA,28,NA
920,2020-02-04,Alaska,4.5,,NA,18,NA
