STAGE.NUMBER,PROVIDER.STATE,N
Stage 1,Montana,23
Stage 1,Nebraska,35
Stage 1,Nevada,13
Stage 1,New Hampshire,18
Stage 1,New Jersey,41
Stage 1,New Mexico,21
Stage 1,New York,95
Stage 1,North Carolina,44
Stage 1,North Dakota,14
Stage 1,Ohio,87
Stage 1,Oklahoma,46
Stage 1,Oregon,20
Stage 1,Pennsylvania,95
Stage 1,Rhode Island,12
Stage 1,South Carolina,32
Stage 1,South Dakota,31
Stage 1,Tennessee,49
Stage 1,Texas,191
Stage 1,Utah,11
Stage 1,Vermont,7
Stage 1,Virginia,53
Stage 1,Washington,43
Stage 1,West Virginia,18
Stage 1,Wisconsin,73
Stage 1,Wyoming,8
Stage 1,Alabama,19
Stage 1,Alaska,1
Stage 1,Arizona,1
Stage 1,Arkansas,17
Stage 1,California,68
Stage 1,Colorado,12
Stage 1,Connecticut,4
Stage 1,Delaware,1
Stage 1,Florida,54
Stage 1,Georgia,28
Stage 1,Hawaii,7
Stage 1,Idaho,7
Stage 1,Illinois,40
Stage 1,Indiana,13
Stage 1,Iowa,30
Stage 1,Kansas,23
Stage 1,Kentucky,11
Stage 1,Louisiana,20
Stage 1,Maine,7
Stage 1,Maryland,3
Stage 1,Massachusetts,16
Stage 1,Michigan,30
Stage 1,Minnesota,26
Stage 1,Mississippi,14
Stage 1,Missouri,22
Stage 1,Montana,4
Stage 1,Nebraska,12
Stage 1,Nevada,3
Stage 1,New Hampshire,6
Stage 1,New Jersey,11
Stage 1,New Mexico,3
Stage 1,New York,18
Stage 1,North Carolina,8
Stage 1,North Dakota,1
Stage 1,Ohio,18
Stage 1,Oklahoma,10
Stage 1,Oregon,10
Stage 1,Pennsylvania,23
Stage 1,Rhode Island,5
Stage 1,South Carolina,8
Stage 1,South Dakota,1
Stage 1,Tennessee,15
Stage 1,Texas,88
Stage 1,Utah,6
Stage 1,Vermont,1
Stage 1,Virginia,32
Stage 1,Washington,18
Stage 1,West Virginia,2
Stage 1,Wisconsin,13
Stage 1,Wyoming,1
