"zip","city","state","latitude","longitude","Total_Payments"
"28586","Vanceboro","NC",35.302937,-77.15546,43480
"28590","Winterville","NC",35.53445,-77.39714,184700
"28601","Hickory","NC",35.759932,-81.33012,3134234.9
"28602","Hickory","NC",35.70701,-81.3534,3154714.45
"28603","Hickory","NC",35.679876,-81.287181,55600
"28604","Banner Elk","NC",36.166515,-81.84672,67600
"28605","Blowing Rock","NC",36.133083,-81.68783,79600
"28607","Boone","NC",36.21277,-81.66255,2065388.54
"28609","Catawba","NC",35.689806,-81.06694,15106.34
"28610","Claremont","NC",35.725163,-81.14279,73120
"28613","Conover","NC",35.720227,-81.21466,572200
"28621","Elkin","NC",36.283497,-80.84586,934639.53
"28624","Ferguson","NC",36.110425,-81.42262,23520
"28625","Statesville","NC",35.840579,-80.87988,1557966.98
"28628","Glen Alpine","NC",35.721174,-81.817998,203680
"28630","Granite Falls","NC",35.811919,-81.43478,131160
"28635","Hays","NC",36.315077,-81.13146,23520
"28638","Hudson","NC",35.840553,-81.48192,173300
"28640","Jefferson","NC",36.410186,-81.42409,365840
"28642","Jonesville","NC",36.227576,-80.82988,192680
"28645","Lenoir","NC",35.934783,-81.54476,722075.22
"28646","Linville","NC",36.073202,-81.87177,43840
"28650","Maiden","NC",35.575785,-81.18843,194182.7
"28655","Morganton","NC",35.742752,-81.71625,1670931.85
"28657","Newland","NC",36.049348,-81.94286,53520
"28658","Newton","NC",35.653437,-81.23443,465459.19
"28659","North Wilkesboro","NC",36.169604,-81.11615,1117009.23
"28670","Ronda","NC",36.204458,-80.93481,76440
"28671","Rutherford College","NC",35.753767,-81.53545,244640
"28675","Sparta","NC",36.506064,-81.1362,169720
"28677","Statesville","NC",35.765719,-80.8981,1880714.96
"28681","Taylorsville","NC",35.914275,-81.2083,244233.43
"28690","Valdese","NC",35.740368,-81.56804,108520
"28694","West Jefferson","NC",36.375468,-81.47784,50516.46
"28697","Wilkesboro","NC",36.136991,-81.17462,112060
"28704","Arden","NC",35.459869,-82.54142,662213.79
"28705","Bakersville","NC",36.033454,-82.16858,152720
"28710","Bat Cave","NC",35.464897,-82.28307,29760
"28711","Black Mountain","NC",35.605146,-82.31665,117949.79
"28712","Brevard","NC",35.188077,-82.75799,724328.77
"28713","Bryson City","NC",35.395491,-83.47397,103097.91
"28714","Burnsville","NC",35.891276,-82.30008,452414.27
"28715","Candler","NC",35.529895,-82.70449,99960
"28716","Canton","NC",35.503301,-82.85103,194304
"28717","Cashiers","NC",35.103251,-83.09538,11798.61
"28719","Cherokee","NC",35.50359,-83.29698,168418.88
"28721","Clyde","NC",35.60089,-82.93536,1622120
"28722","Columbus","NC",35.248689,-82.18161,127140
"28725","Dillsboro","NC",35.36852,-83.25321,3920
"28729","Etowah","NC",35.311112,-82.60288,77780
"28730","Fairview","NC",35.526686,-82.37542,70180
"28732","Fletcher","NC",35.437611,-82.48999,148800
"28734","Franklin","NC",35.185018,-83.39032,765740
"28735","Gerton","NC",35.478887,-82.34855,11760
"28739","Hendersonville","NC",35.290454,-82.50652,819700
"28741","Highlands","NC",35.06252,-83.21173,236520
"28742","Horse Shoe","NC",35.362016,-82.60353,29760
"28747","Lake Toxaway","NC",35.146004,-82.92258,19600
"28752","Marion","NC",35.709124,-82.01719,400375.67
"28754","Mars Hill","NC",35.866763,-82.52043,163468.28
"28759","Mills River","NC",35.39,-82.57,188056.6
"28761","Nebo","NC",35.666254,-81.90629,107751.17
"28762","Old Fort","NC",35.625414,-82.18229,30378.53
"28768","Pisgah Forest","NC",35.272331,-82.67373,37600
"28771","Robbinsville","NC",35.345611,-83.79634,35280
"28777","Spruce Pine","NC",35.910932,-82.07366,333850.29
"28778","Swannanoa","NC",35.60243,-82.40531,43720
"28781","Topton","NC",35.241747,-83.62998,11760
"28782","Tryon","NC",35.221428,-82.21712,163020
"28785","Maggie Valley","NC",35.569047,-83.009416,195840
"28786","Waynesville","NC",35.511094,-82.99607,328240
"28787","Weaverville","NC",35.723848,-82.54285,425304.59
"28791","Hendersonville","NC",35.345487,-82.49673,1444479.14
"28792","Hendersonville","NC",35.353837,-82.41625,1327848.5
"28801","Asheville","NC",35.595661,-82.55632,6803311.1
"28803","Asheville","NC",35.54179,-82.52307,5922012.57
"28804","Asheville","NC",35.635844,-82.55992,107280
"28805","Asheville","NC",35.599363,-82.50007,237748.19
"28806","Asheville","NC",35.575877,-82.6062,1063577.81
"28901","Andrews","NC",35.202178,-83.81695,106560
"28904","Hayesville","NC",35.052591,-83.76683,212480
"28906","Murphy","NC",35.091332,-84.09018,503517.98
"29003","Bamberg","SC",33.272026,-81.03203,43720
"29016","Blythewood","SC",34.200042,-80.98653,42943.45
"29020","Camden","SC",34.278935,-80.59142,794300
"29033","Cayce","SC",33.964753,-81.06618,113842.7
"29036","Chapin","SC",34.128998,-81.33822,273031.08
"29045","Elgin","SC",34.1699,-80.81448,169500
"29047","Elloree","SC",33.52803,-80.58127,43480
"29054","Gilbert","SC",33.947764,-81.3823,23520
"29058","Heath Springs","SC",34.588329,-80.70107,35880
"29063","Irmo","SC",34.120487,-81.19686,795308.6
"29067","Kershaw","SC",34.545825,-80.54807,67840
"29069","Lamar","SC",34.183978,-80.07629,1319.91
"29070","Leesville","SC",33.931279,-81.465,47461.92
"29072","Lexington","SC",33.991362,-81.25047,1898314.81
"29073","Lexington","SC",33.917812,-81.21854,143578.38
"29075","Little Mountain","SC",34.194914,-81.39016,34300
"29078","Lugoff","SC",34.204467,-80.70776,267720
"29102","Manning","SC",33.647611,-80.21281,63385.7
"29108","Newberry","SC",34.282877,-81.61641,272118.97
"29115","Orangeburg","SC",33.487767,-80.8564,119398.82
"29116","Orangeburg","SC",33.49593,-80.824603,160200
"29118","Orangeburg","SC",33.548282,-80.88513,412043.19
"29122","Peak","SC",34.242848,-81.32649,130440
"29127","Prosperity","SC",34.14854,-81.511,124560
"29142","Santee","SC",33.462378,-80.50903,18000
"29148","Summerton","SC",33.570595,-80.33969,7840
"29150","Sumter","SC",33.916418,-80.35738,2911328.4
"29154","Sumter","SC",33.899155,-80.43433,87820
"29160","Swansea","SC",33.734171,-81.07563,89219.2
"29169","West Columbia","SC",33.990952,-81.08956,4453765.44
"29170","West Columbia","SC",33.943251,-81.14142,247160
"29172","West Columbia","SC",33.902216,-81.08256,22638.53
"29201","Columbia","SC",33.998454,-81.03519,3034082.1
"29202","Columbia","SC",34.022921,-81.02886,34300
"29203","Columbia","SC",34.066271,-81.02492,4364157.31
"29204","Columbia","SC",34.027955,-81.00008,2092980
"29205","Columbia","SC",33.990555,-80.99826,55403.24
"29206","Columbia","SC",34.037557,-80.96024,477982.24
"29207","Columbia","SC",34.021442,-80.94144,43480
"29209","Columbia","SC",33.968011,-80.93844,227571.9
"29210","Columbia","SC",34.041646,-81.10624,806997.21
"29212","Columbia","SC",34.075611,-81.17611,836168.04
"29223","Columbia","SC",34.084069,-80.93286,1053179.63
"29229","Columbia","SC",34.139511,-80.88783,444734.65
"29301","Spartanburg","SC",34.940921,-81.98682,661744.72
"29302","Spartanburg","SC",34.926075,-81.87919,420120
"29303","Spartanburg","SC",34.980636,-81.95665,7669208.57
"29306","Spartanburg","SC",34.925353,-81.9308,105840
"29307","Spartanburg","SC",34.982424,-81.85729,2149649.54
"29316","Spartanburg","SC",35.033903,-81.97413,107670.74
"29325","Clinton","SC",34.470115,-81.86761,388980
"29334","Duncan","SC",34.915071,-82.13322,110190.01
"29340","Gaffney","SC",35.03653,-81.62497,311870.07
"29341","Gaffney","SC",35.10425,-81.69232,396510
"29349","Inman","SC",35.061431,-82.07523,54000
"29356","Landrum","SC",35.15617,-82.22045,36000
"29360","Laurens","SC",34.503167,-82.02271,82920
"29365","Lyman","SC",34.96589,-82.14541,26460
"29372","Pacolet","SC",34.900682,-81.74846,23341.09
"29376","Roebuck","SC",34.856283,-81.95444,55240
"29379","Union","SC",34.714045,-81.60496,78865.3
"29385","Wellford","SC",34.954729,-82.09312,43480
"29388","Woodruff","SC",34.758703,-82.0483,47760
"29401","Charleston","SC",32.779126,-79.9355,428560
"29403","Charleston","SC",32.799326,-79.94813,1554949.11
"29405","North Charleston","SC",32.856634,-79.98218,160888.65
"29406","Charleston","SC",32.918757,-80.0228,3814218.22
"29407","Charleston","SC",32.794841,-80.005,3287154.84
"29410","Charleston","SC",33.192514,-80.03063,32700
"29412","Charleston","SC",32.73727,-79.95409,772928.73
"29413","Charleston","SC",32.84885,-79.85773,29760
"29414","Charleston","SC",32.821238,-80.05353,3076478.38
"29418","North Charleston","SC",32.879529,-80.05911,49200.72
"29420","North Charleston","SC",32.93064,-80.09247,103620
"29425","Charleston","SC",32.786176,-79.94711,7818895.34
"29431","Bonneau","SC",33.284887,-79.91504,47400
"29432","Branchville","SC",33.229581,-80.80248,6043.14
"29440","Georgetown","SC",33.38934,-79.32638,395560
"29442","Georgetown","SC",33.403693,-79.226361,45680
"29445","Goose Creek","SC",32.991185,-80.02347,514273.67
"29455","Johns Island","SC",32.717109,-80.08507,167348.48
"29456","Ladson","SC",32.993571,-80.12165,183360
"29461","Moncks Corner","SC",33.164225,-80.01039,499028.91
"29464","Mount Pleasant","SC",32.813518,-79.85899,3873991.75
"29466","Mount Pleasant","SC",32.87602,-79.79148,676304.12
"29479","Saint Stephen","SC",33.391941,-79.91737,54560
"29482","Sullivans Island","SC",32.763456,-79.83791,104960
"29483","Summerville","SC",33.034586,-80.18599,785447.65
