Country,Abb,X,Y,Time,Airline,Info,Source
Egypt,EGY,29.776611,26.5826,14.07.2020,Air Cairo,Air Cairo 15JUL ?€? 31AUG20 operations as of 12JUL20,https://www.routesonline.com/news/38/airlineroute/292433/air-cairo-15jul-31aug20-operations-as-of-12jul20/
El Salvador,SLV,-88.866407,13.733507,,,,
Equatorial Guinea,GNQ,10.46817,1.567542,,,,
Eritrea,ERI,38.110583,16.128858,,,,
Estonia,EST,25.837845,58.683671,,,,
Eswatini,SWZ,31.501493,-26.56471,,,,
Ethiopia,ETH,39.635053,8.631222,12.07.2020,Ethiopian,Ethiopian Airlines to resume flights to Cameroon on special permit,https://www.aviation24.be/airlines/ethiopian-airlines/ethiopian-airlines-to-resume-flights-to-cameroon-on-special-permit/
Ethiopia,ETH,39.635053,8.631222,09.07.2020,Ethiopian,Ethiopian Airlines 3Q20 European network as of 08JUL20,https://www.routesonline.com/news/38/airlineroute/292339/ethiopian-airlines-3q20-european-network-as-of-08jul20/
Ethiopia,ETH,39.635053,8.631222,28.06.2020,Ethiopian,Ethiopian Airlines announced resumption of flights for business and leisure travellers with programmes aimed at safeguarding their health and safety.,http://www.gdnonline.com/Details/826354/Ethiopian-Airlines-resumes-flights
Ethiopia,ETH,39.635053,8.631222,26.06.2020,Ethiopian,Ethiopian Airlines July 2020 East Asia / South Asia operations as of 25JUN20,https://www.routesonline.com/news/38/airlineroute/292077/ethiopian-airlines-july-2020-east-asia-south-asia-operations-as-of-25jun20/
Europa Island,xFR,40.346587,-22.364862,,,,
Falkland Islands (Malvinas),FLK,-58.753229,-51.741167,,,,
Faroe Islands,FRO,-7.12897,62.204737,30.06.2020,Atlantic Airways,Atlantic Airways Faroe Islands July/August 2020 operations as of 29JUN20,https://www.routesonline.com/news/38/airlineroute/292141/atlantic-airways-faroe-islands-julyaugust-2020-operations-as-of-29jun20/
Faroe Islands,FRO,-7.12897,62.204737,08.06.2020,Atlantic Airways,Atlantic Airways Faroe Islands to resume Aalborg service in late-June 2020,https://www.routesonline.com/news/38/airlineroute/291690/atlantic-airways-faroe-islands-to-resume-aalborg-service-in-late-june-2020/
Fiji,FJI,177.964016,-17.835777,15.05.2020,Fiji Link,Fiji Airways restores additional domestic flights from late-May 2020,https://www.routesonline.com/news/38/airlineroute/291288/fiji-airways-restores-additional-domestic-flights-from-late-may-2020//
Fiji,FJI,177.964016,-17.835777,15.05.2020,Fiji Airways,Fiji Airways restores additional domestic flights from eff. 16MAY20,https://www.routesonline.com/news/38/airlineroute/291288/fiji-airways-restores-additional-domestic-flights-from-late-may-2020/
Fiji,FJI,177.964016,-17.835777,07.07.2020,Fiji Airways,Fiji Airways extends long-haul cancellations to late-August 2020,https://www.routesonline.com/news/38/airlineroute/292263/fiji-airways-extends-long-haul-cancellations-to-late-august-2020/
Fiji,FJI,177.964016,-17.835777,09.07.2020,Fiji Airways,Fiji Airways extends International service suspension to late-August 2020,https://www.routesonline.com/news/38/airlineroute/292345/fiji-airways-extends-international-service-suspension-to-late-august-2020/
