state,Date,Travelers
AK,2020/1/23,NA
AK,2020/1/24,NA
AK,2020/1/25,NA
AK,2020/1/26,NA
AK,2020/1/27,NA
AK,2020/1/28,NA
AK,2020/1/29,NA
AK,2020/1/30,NA
AK,2020/1/31,NA
AK,2020/2/1,NA
AK,2020/2/2,NA
AK,2020/2/3,NA
AK,2020/2/4,NA
AK,2020/2/5,NA
AK,2020/2/6,NA
AK,2020/2/7,NA
AK,2020/2/8,NA
AK,2020/2/9,NA
AK,2020/2/10,NA
AK,2020/2/11,NA
AK,2020/2/12,NA
AK,2020/2/13,NA
AK,2020/2/14,NA
AK,2020/2/15,NA
AK,2020/2/16,NA
AK,2020/2/17,NA
AK,2020/2/18,NA
AK,2020/2/19,NA
AK,2020/2/20,NA
AK,2020/2/21,NA
AK,2020/2/22,NA
AK,2020/2/23,NA
AK,2020/2/24,NA
AK,2020/2/25,NA
AK,2020/2/26,NA
AK,2020/2/27,NA
AK,2020/2/28,NA
AK,2020/2/29,NA
AK,2020/3/1,NA
AK,2020/3/2,NA
AK,2020/3/3,NA
AK,2020/3/4,NA
AK,2020/3/5,NA
AK,2020/3/6,NA
AK,2020/3/7,NA
AK,2020/3/8,NA
AK,2020/3/9,NA
AK,2020/3/10,NA
AK,2020/3/11,NA
AK,2020/3/12,NA
AK,2020/3/13,NA
AK,2020/3/14,NA
AK,2020/3/15,NA
AK,2020/3/16,NA
AK,2020/3/17,NA
AK,2020/3/18,NA
AK,2020/3/19,NA
AK,2020/3/20,NA
AK,2020/3/21,NA
AK,2020/3/22,NA
AK,2020/3/23,NA
AK,2020/3/24,NA
AK,2020/3/25,NA
AK,2020/3/26,NA
AK,2020/3/27,NA
AK,2020/3/28,NA
AK,2020/3/29,NA
AK,2020/3/30,NA
AK,2020/3/31,NA
AK,2020/4/1,NA
AK,2020/4/2,NA
AK,2020/4/3,NA
AK,2020/4/4,NA
AK,2020/4/5,NA
AK,2020/4/6,NA
AK,2020/4/7,NA
AK,2020/4/8,NA
AK,2020/4/9,NA
AK,2020/4/10,NA
AK,2020/4/11,NA
AK,2020/4/12,NA
