"","date","state","PM2.5","CO","NO2","PM10","SO2","AQ_PM2.5","AQ_CO","AQ_NO2","AQ_PM10","AQ_SO2"
"145",2020-05-28,"alabama",6,0.7,NA,NA,NA,"Good","Good",NA,NA,NA
"146",2020-05-29,"alabama",5.8,1,NA,NA,NA,"Good","Good",NA,NA,NA
"147",2020-05-30,"alabama",7,1.4,NA,NA,NA,"Good","Good",NA,NA,NA
"148",2020-05-31,"alabama",8.4,2.1,NA,NA,NA,"Good","Good",NA,NA,NA
"149",2020-06-01,"alabama",9.5,1.1,NA,NA,NA,"Good","Good",NA,NA,NA
"150",2020-06-02,"alabama",7.5,1.8,NA,NA,NA,"Good","Good",NA,NA,NA
"151",2020-06-03,"alabama",10,1.8,NA,NA,NA,"Good","Good",NA,NA,NA
"152",2020-06-04,"alabama",7.2,0.9,NA,NA,NA,"Good","Good",NA,NA,NA
"153",2020-06-05,"alabama",6.6,0.6,NA,NA,NA,"Good","Good",NA,NA,NA
"154",2020-06-06,"alabama",5.5,1.1,NA,NA,NA,"Good","Good",NA,NA,NA
"155",2020-06-07,"alabama",4.1,0.5,NA,NA,NA,"Good","Good",NA,NA,NA
"156",2020-06-08,"alabama",5.8,0.4,NA,NA,NA,"Good","Good",NA,NA,NA
"157",2020-06-09,"alabama",7.9,0.6,NA,NA,NA,"Good","Good",NA,NA,NA
"158",2020-06-10,"alabama",5.7,1.4,NA,NA,NA,"Good","Good",NA,NA,NA
"159",2020-06-11,"alabama",7.3,0.3,NA,NA,NA,"Good","Good",NA,NA,NA
"160",2020-06-12,"alabama",8.5,0.2,NA,NA,NA,"Good","Good",NA,NA,NA
"161",2020-06-13,"alabama",8.5,0.3,NA,NA,NA,"Good","Good",NA,NA,NA
"162",2020-06-14,"alabama",11.9,0.2,NA,NA,NA,"Good","Good",NA,NA,NA
"163",2020-06-15,"alabama",8.1,1.3,NA,NA,NA,"Good","Good",NA,NA,NA
"164",2020-06-16,"alabama",3.9,1.5,NA,NA,NA,"Good","Good",NA,NA,NA
"165",2020-06-17,"alabama",6,1.4,NA,NA,NA,"Good","Good",NA,NA,NA
"166",2020-06-18,"alabama",8.6,1,NA,NA,NA,"Good","Good",NA,NA,NA
"167",2020-06-19,"alabama",10,0.8,NA,NA,NA,"Good","Good",NA,NA,NA
"168",2020-06-20,"alabama",12.3,0.9,NA,NA,NA,"Moderate","Good",NA,NA,NA
"169",2020-06-21,"alabama",12.3,0.9,NA,NA,NA,"Moderate","Good",NA,NA,NA
"170",2020-06-22,"alabama",7.4,0.3,NA,NA,NA,"Good","Good",NA,NA,NA
"171",2020-06-23,"alabama",6,0.6,NA,NA,NA,"Good","Good",NA,NA,NA
"172",2020-06-24,"alabama",4.5,1.1,NA,NA,NA,"Good","Good",NA,NA,NA
"173",2020-06-25,"alabama",16.2,0.6,NA,NA,NA,"Moderate","Good",NA,NA,NA
"174",2020-06-26,"alabama",34.9,0.5,NA,NA,NA,"Moderate","Good",NA,NA,NA
"175",2020-06-27,"alabama",30.4,1,NA,NA,NA,"Moderate","Good",NA,NA,NA
"176",2020-06-28,"alabama",9.4,0.9,NA,NA,NA,"Good","Good",NA,NA,NA
"177",2020-06-29,"alabama",7,0.8,NA,NA,NA,"Good","Good",NA,NA,NA
"178",2020-06-30,"alabama",7.6,0.7,NA,NA,NA,"Good","Good",NA,NA,NA
"179",2020-07-01,"alabama",8.4,0.4,NA,NA,NA,"Good","Good",NA,NA,NA
"180",2020-07-02,"alabama",8,0.2,NA,NA,NA,"Good","Good",NA,NA,NA
"181",2020-07-03,"alabama",10.2,0.4,NA,NA,NA,"Good","Good",NA,NA,NA
"182",2020-07-04,"alabama",17.6,0.6,NA,NA,NA,"Moderate","Good",NA,NA,NA
"183",2020-07-05,"alabama",10.3,0.7,NA,NA,NA,"Good","Good",NA,NA,NA
"184",2020-01-01,"alaska",16.2,NA,NA,9,NA,"Moderate",NA,NA,"Good",NA
"185",2020-01-02,"alaska",11.4,NA,NA,18,NA,"Good",NA,NA,"Good",NA
"186",2020-01-03,"alaska",24,NA,NA,32,NA,"Moderate",NA,NA,"Good",NA
"187",2020-01-04,"alaska",29.3,NA,NA,20,NA,"Moderate",NA,NA,"Good",NA
"188",2020-01-05,"alaska",36.4,NA,NA,29,NA,"Unhealthy for Sensitive Groups",NA,NA,"Good",NA
"189",2020-01-06,"alaska",31,NA,NA,27,NA,"Moderate",NA,NA,"Good",NA
"190",2020-01-07,"alaska",20.3,NA,NA,20,NA,"Moderate",NA,NA,"Good",NA
"191",2020-01-08,"alaska",24.1,NA,NA,39,NA,"Moderate",NA,NA,"Good",NA
"192",2020-01-09,"alaska",14.8,NA,NA,41,NA,"Moderate",NA,NA,"Good",NA
"193",2020-01-10,"alaska",7.5,NA,NA,40,NA,"Good",NA,NA,"Good",NA
"194",2020-01-11,"alaska",17.9,NA,NA,35,NA,"Moderate",NA,NA,"Good",NA
"195",2020-01-12,"alaska",5.2,NA,NA,42,NA,"Good",NA,NA,"Good",NA
"196",2020-01-13,"alaska",3.5,NA,NA,17,NA,"Good",NA,NA,"Good",NA
"197",2020-01-14,"alaska",10.7,NA,NA,8,NA,"Good",NA,NA,"Good",NA
"198",2020-01-15,"alaska",6.8,NA,NA,19,NA,"Good",NA,NA,"Good",NA
"199",2020-01-16,"alaska",5.5,NA,NA,27,NA,"Good",NA,NA,"Good",NA
"200",2020-01-17,"alaska",13.6,NA,NA,32,NA,"Moderate",NA,NA,"Good",NA
"201",2020-01-18,"alaska",19.2,NA,NA,27,NA,"Moderate",NA,NA,"Good",NA
"202",2020-01-19,"alaska",12.2,NA,NA,21,NA,"Moderate",NA,NA,"Good",NA
"203",2020-01-20,"alaska",2.3,NA,NA,25,NA,"Good",NA,NA,"Good",NA
"204",2020-01-21,"alaska",6.4,NA,NA,20,NA,"Good",NA,NA,"Good",NA
"205",2020-01-22,"alaska",4.7,NA,NA,15,NA,"Good",NA,NA,"Good",NA
"206",2020-01-23,"alaska",10.3,NA,NA,19,NA,"Good",NA,NA,"Good",NA
"207",2020-01-24,"alaska",15.3,NA,NA,12,NA,"Moderate",NA,NA,"Good",NA
"208",2020-01-25,"alaska",7.7,NA,NA,18,NA,"Good",NA,NA,"Good",NA
"209",2020-01-26,"alaska",4.5,NA,NA,21,NA,"Good",NA,NA,"Good",NA
"210",2020-01-27,"alaska",11.6,NA,NA,21,NA,"Good",NA,NA,"Good",NA
"211",2020-01-28,"alaska",8,NA,NA,20,NA,"Good",NA,NA,"Good",NA
"212",2020-01-29,"alaska",0.4,NA,NA,25,NA,"Good",NA,NA,"Good",NA
"213",2020-01-30,"alaska",7.2,NA,NA,7,NA,"Good",NA,NA,"Good",NA
"214",2020-01-31,"alaska",11.3,NA,NA,15,NA,"Good",NA,NA,"Good",NA
"215",2020-02-01,"alaska",9.4,NA,NA,11,NA,"Good",NA,NA,"Good",NA
"216",2020-02-02,"alaska",4,NA,NA,24,NA,"Good",NA,NA,"Good",NA
"217",2020-02-03,"alaska",3.1,NA,NA,28,NA,"Good",NA,NA,"Good",NA
"218",2020-02-04,"alaska",4.5,NA,NA,18,NA,"Good",NA,NA,"Good",NA
"219",2020-02-05,"alaska",5.9,NA,NA,26,NA,"Good",NA,NA,"Good",NA
"220",2020-02-06,"alaska",3.3,NA,NA,7,NA,"Good",NA,NA,"Good",NA
"221",2020-02-07,"alaska",1.4,NA,NA,13,NA,"Good",NA,NA,"Good",NA
"222",2020-02-08,"alaska",2.2,NA,NA,17,NA,"Good",NA,NA,"Good",NA
"223",2020-02-09,"alaska",5.2,NA,NA,5,NA,"Good",NA,NA,"Good",NA
"224",2020-02-10,"alaska",5.8,NA,NA,12,NA,"Good",NA,NA,"Good",NA
"225",2020-02-11,"alaska",11.8,NA,NA,21,NA,"Good",NA,NA,"Good",NA
"226",2020-02-12,"alaska",4.4,NA,NA,7,NA,"Good",NA,NA,"Good",NA
"227",2020-02-13,"alaska",2.5,NA,NA,20,NA,"Good",NA,NA,"Good",NA
"228",2020-02-14,"alaska",10.8,NA,NA,23,NA,"Good",NA,NA,"Good",NA
"229",2020-02-15,"alaska",2.9,NA,NA,11,NA,"Good",NA,NA,"Good",NA
"230",2020-02-16,"alaska",13.3,NA,NA,19,NA,"Moderate",NA,NA,"Good",NA
"231",2020-02-17,"alaska",0.4,NA,NA,23,NA,"Good",NA,NA,"Good",NA
"232",2020-02-18,"alaska",-1.3,NA,NA,22,NA,"Good",NA,NA,"Good",NA
"233",2020-02-19,"alaska",0.1,NA,NA,12,NA,"Good",NA,NA,"Good",NA
"234",2020-02-20,"alaska",-1.2,NA,NA,19,NA,"Good",NA,NA,"Good",NA
"235",2020-02-21,"alaska",2,NA,NA,8,NA,"Good",NA,NA,"Good",NA
"236",2020-02-22,"alaska",1.7,NA,NA,13,NA,"Good",NA,NA,"Good",NA
"237",2020-02-23,"alaska",NA,NA,NA,11,NA,NA,NA,NA,"Good",NA
